timestamp,open,high,low,close,volume
2025-03-21,127.2000,127.2400,126.2200,126.8600,0
2025-03-20,127.2400,127.9000,126.6200,126.9000,20043
2025-03-19,126.3800,127.6600,126.2800,127.6600,10579
2025-03-18,127.0400,127.1000,125.6800,125.9200,17044
2025-03-17,126.0400,127.6400,125.8600,127.6400,39462
2025-03-14,125.2000,126.3200,124.8800,126.3200,15743
2025-03-13,125.0000,125.5800,124.0400,124.4600,30318
2025-03-12,124.6600,125.7200,124.2200,125.1200,33951
2025-03-11,125.1000,125.6600,123.3400,124.1400,71759
2025-03-10,128.2200,128.4400,124.9200,125.5800,61316
2025-03-07,128.4800,128.7200,126.8200,128.4000,33823
2025-03-06,130.5200,130.6800,128.5200,128.6200,18256
2025-03-05,131.5000,131.5000,129.2200,130.9800,40526
2025-03-04,133.3000,133.3000,130.5400,132.0000,72859
2025-03-03,136.2400,136.2400,133.0000,133.0000,21048
2025-02-28,133.8800,135.4200,133.8400,135.4200,20653
2025-02-27,135.9000,136.3600,134.6600,134.6600,10932
2025-02-26,135.5000,136.2000,135.3400,135.3600,9005
2025-02-25,135.6200,135.8400,134.2000,134.7800,17762
2025-02-24,136.5400,136.9200,135.7800,136.2200,20635
2025-02-21,137.8800,138.3600,136.4400,136.4400,11396
2025-02-20,138.5200,138.7400,137.2800,137.2800,33494
2025-02-19,138.5800,138.9000,138.4000,138.6800,7601
2025-02-18,138.5400,138.8000,138.2800,138.4000,181
2025-02-17,138.1000,138.2800,137.9000,138.2800,502
2025-02-14,138.0800,138.0800,137.3200,137.6400,324
2025-02-13,137.0000,137.8400,136.8600,137.6000,185
2025-02-12,137.8600,137.8600,137.0000,137.2200,722
2025-02-11,138.0200,138.0400,137.6600,137.8800,357
2025-02-10,137.8400,138.4600,137.7600,138.4400,132
2025-02-07,137.8000,137.9600,137.3000,137.5800,481
2025-02-06,137.1400,137.7800,137.1400,137.4800,7
2025-02-05,135.8800,136.5000,135.6000,136.3800,320
2025-02-04,136.6200,136.6200,135.7600,136.4600,796
2025-02-03,135.2200,136.9200,135.2200,136.9200,1144
2025-01-31,137.4400,137.9200,137.1800,137.1800,16361
2025-01-30,136.2600,136.9400,136.2400,136.9400,8412
2025-01-29,136.2200,136.5800,135.6000,135.8800,11845
2025-01-28,134.7000,135.8800,134.7000,135.7400,14234
2025-01-27,134.3000,134.3000,132.5200,133.7000,22323
2025-01-24,136.5000,136.5400,135.7400,135.7400,13855
2025-01-23,136.1000,136.4200,135.9400,136.3400,10769
2025-01-22,135.9400,136.2800,135.7000,136.1600,16893
2025-01-21,135.3200,135.8200,135.1000,135.5200,11414
2025-01-20,135.6600,135.8600,135.1200,135.1600,19386
2025-01-17,134.6400,136.0000,134.6400,135.9600,12696
2025-01-16,134.9600,135.1400,134.4600,134.5400,9682
2025-01-15,132.5000,134.4000,132.3400,134.4000,9469
2025-01-14,133.0600,133.2800,131.9600,132.2200,8784
2025-01-13,132.4000,132.8000,131.8200,132.5400,50973
2025-01-10,134.0400,134.0400,132.2600,132.7400,16433
2025-01-09,133.6200,134.0400,133.6000,134.0400,5354
2025-01-08,133.6400,134.1800,133.2400,133.4200,14043
2025-01-07,133.6000,134.5000,133.5000,133.8600,16048
2025-01-06,134.5600,134.7200,134.0000,134.3000,28793
2025-01-03,133.5800,134.5000,133.3000,134.4600,30278
2025-01-02,132.9800,133.8800,132.8000,132.8000,23881
2024-12-30,133.0800,133.0800,132.0000,132.0000,13893
2024-12-27,134.1600,134.1600,132.6800,132.7800,20001
2024-12-23,133.1600,133.1600,132.4600,132.8800,23817
2024-12-20,131.5800,133.0400,130.1400,132.5600,17330
2024-12-19,132.2400,132.7400,132.0000,132.0000,23895
2024-12-18,134.4800,134.6600,134.2800,134.4400,10157
2024-12-17,134.6400,134.6400,134.0200,134.3000,13444
2024-12-16,134.4200,134.7800,134.3400,134.7800,10921
2024-12-13,135.3200,135.4200,134.2800,134.4200,9023
2024-12-12,135.5400,135.5400,135.0400,135.0800,11176
2024-12-11,134.9000,136.2600,134.9000,136.2600,7419
2024-12-10,134.7200,135.4000,134.5800,134.8600,7736
2024-12-09,135.5200,135.6800,134.9200,135.3200,9553
2024-12-06,134.8000,135.4600,134.7800,135.4600,8539
2024-12-05,135.3400,135.5800,134.9600,135.1000,15536
2024-12-04,135.0000,135.8200,134.9400,134.9400,11326
2024-12-03,135.3200,135.3200,134.6400,134.7600,14778
2024-12-02,133.9800,135.0600,133.9800,134.9000,18047
2024-11-29,132.9200,133.8800,132.8800,133.4200,10790
2024-11-28,133.2800,133.4200,132.9200,133.3600,5103
2024-11-27,133.8600,133.8600,132.3000,132.6400,9754
2024-11-26,133.2400,134.0800,133.0000,133.9000,4907
2024-11-25,134.2200,134.2200,133.3000,133.3000,14840
2024-11-22,132.8600,134.2000,132.8600,134.1600,10621
2024-11-21,131.2600,132.9600,131.1800,132.9600,7349
2024-11-20,131.2800,131.6600,130.8400,131.4200,4800
2024-11-19,131.0000,131.0800,129.9000,130.9200,8899
2024-11-18,130.8400,131.0400,130.4200,130.6000,10957
2024-11-15,131.0000,131.3200,130.3000,130.3000,9292
2024-11-14,132.1000,132.9400,132.0400,132.1200,6868
2024-11-13,131.7200,132.4800,131.3200,132.4800,6486
2024-11-12,132.2200,132.3400,131.2800,131.9800,9516
2024-11-11,131.9000,132.8000,131.9000,132.1400,15124
2024-11-08,130.8600,131.4800,130.2800,131.4800,14490
2024-11-07,130.8400,130.8600,130.3600,130.5600,9539
2024-11-06,130.1400,130.5600,129.3800,129.8200,0
2024-11-05,125.7000,126.4200,125.6200,126.1800,6565
2024-11-04,125.8600,125.9600,125.1400,125.5400,10605
2024-11-01,125.1200,126.7000,125.1200,126.0600,9918
2024-10-31,126.3600,126.4600,125.1000,125.1000,15366
2024-10-30,128.3600,128.3600,127.2000,127.2400,9571
2024-10-29,128.2800,128.5400,128.2000,128.3800,10290
2024-10-28,128.5000,128.6800,127.9800,128.3000,9754
2024-10-25,127.8200,128.5200,127.7200,127.9800,10964
2024-10-24,128.3800,128.4600,127.4200,127.5800,7214
2024-10-23,129.0000,129.0000,127.6200,127.6200,9000
2024-10-22,128.5600,128.7400,128.0200,128.7400,17041
2024-10-21,128.9400,128.9800,128.2000,128.8400,13324
2024-10-18,128.7400,129.1600,128.7400,128.9600,6635
2024-10-17,128.3600,129.1400,128.3600,129.0400,8431
2024-10-16,127.5800,128.5600,127.5400,128.5600,9307
2024-10-15,128.6800,128.6800,127.6200,127.6200,14048
2024-10-14,127.8400,128.8600,127.4600,128.5600,12207
2024-10-11,126.7800,127.7600,126.5800,127.7600,3632
2024-10-10,126.8400,127.1200,126.5400,126.8200,4765
2024-10-09,125.7000,126.8400,125.7000,126.8400,6722
2024-10-08,125.0600,125.9800,124.9800,125.8600,11369
2024-10-07,126.4600,126.4600,126.0400,126.1000,8894
2024-10-04,125.1600,126.5000,125.1600,126.4000,18957
2024-10-03,124.8800,125.1800,124.5800,124.7400,8615
2024-10-02,125.1600,125.5200,124.7800,125.5200,8086
2024-10-01,124.9400,125.6000,124.2200,124.5000,12697
2024-09-30,124.9000,124.9000,123.9400,124.2400,9143
2024-09-27,124.7600,125.0800,124.6400,124.6400,4935
2024-09-26,124.8200,125.5000,124.4000,124.4600,8597
2024-09-25,123.3600,123.8200,123.3600,123.7400,3790
2024-09-24,123.8600,124.0200,123.3200,123.8400,4238
2024-09-23,122.9600,123.5200,122.8200,123.4000,6093
2024-09-20,122.9000,123.0200,122.5400,122.6800,4406
2024-09-19,122.4800,123.4800,122.4800,123.4000,18026
2024-09-18,122.0000,122.0000,121.4600,121.7600,2935
2024-09-17,121.9600,122.3000,121.6000,121.7800,9785
2024-09-16,122.0000,122.0000,121.3400,121.8600,17686
2024-09-13,121.4800,122.1400,121.4400,122.0000,4546
2024-09-12,121.4800,121.7600,120.7600,121.6000,4200
2024-09-11,119.7000,121.3600,119.0800,121.3600,4917
2024-09-10,120.0600,120.4000,119.3400,120.2000,6764
2024-09-09,119.0800,120.2600,119.0800,120.2600,12162
2024-09-06,119.8400,120.3200,118.3200,118.3200,8588
2024-09-05,120.5600,121.0400,119.9400,120.0800,6908
2024-09-04,120.4200,121.1800,120.4200,120.7400,7557
2024-09-03,123.4000,123.5400,121.8000,121.8200,10232
2024-09-02,123.4400,123.5000,123.0200,123.5000,8930
2024-08-30,122.8200,123.1800,122.6800,122.6800,3769
2024-08-29,122.0000,123.3200,122.0000,123.1200,7406
2024-08-28,122.1200,122.5200,121.7400,121.8600,5141
2024-08-27,121.6800,122.0000,121.6200,121.8600,3877
2024-08-26,121.8400,122.3000,121.4800,121.4800,7717
2024-08-23,121.6600,122.0400,121.4400,121.5200,3950
2024-08-22,121.7800,122.0600,121.5000,121.5000,4002
2024-08-21,121.4400,121.8000,121.2800,121.5200,8904
2024-08-20,122.0800,122.3200,121.1600,121.1800,7851
2024-08-19,121.3600,121.9200,121.2800,121.8200,14609
